表2 GXXX0101 学校基本数据子类表 
表3 GXXX0201 委员会（领导小组）子类表 
表4 GXXX0202 委员会（领导小组）成员子类表
表5 GXXX0302 院系所单位变更子类表
表6 GXXX0303 院系所单位概况子类表
表7 GXXX04 班级数据类表
表8 GXXX0501 学科点基本数据子类表
表9 GXXX0502 学科点统计数据子类表
表10 GXXS0108 学生来源数据子类表
表11 GXXS0110 住宿子类表
表12 GXXS0111 户口状况子类表
表13 GXXS0201 本专科生考生子类表 
表14 GXXS0202 本专科生考生总分子类表
表15 GXXS0203 本专科生考生科目成绩子类表
表16 GXXS0204 本专科生录取子类表
表17 GXXS0205 本专科生新生测验成绩子类表
表18 GXXS0301 研究生考生子类表
表19 GXXS0302 研究生入学考试成绩子类表
表20 GXXS0303 研究生录取子类表
表21 GXXS0304 研究生调剂录取子类表
表22 GXXS0401 研究生招生计划辅助子类表
表23 GXXS0402 研究生报名点辅助子类表
表24 GXXS0403 研究生入学考试科目辅助子类表
表25 GXXS0404 研究生入学考试考场辅助子类表
表26 GXXS0405 研究生考场监考教师辅助子类表
表27 GXXS0406 研究生入学考试复试基本要求子类表
表28 GXXS0501 以同等学力身份申请学位水平考试、综合考试辅助子类表
表29 GXXS0502 以同等学力身份申请学位辅助子类表
表30 GXXS0601 体检子类表
表31 GXXS0602 防疫注射子类表 
表32 GXXS0701 学籍基本数据子类表
表33 GXXS0703 辅修专业、双学位子类表
表34 GXXS0704 缴纳学费子类表
表35 GXXS0705 注册子类表
表36 GXXS0706 成绩子类表
表37 GXXS0709 惩处子类表
表38 GXXS0801 学位、学历子类表
表39 GXXS0802 学位论文子类表
表40 GXXS0803 论文评审子类表
表41 GXXS0804 论文答辩委员子类表
表42 GXXS0805 授予学位评审子类表
表43 GXXS0903 学生研究训练活动子类表
表44 GXXS0904 课外赛事子类表
表45 GXXS0905 军训子类表
表46 GXXS0906 预征入伍信息子类表 
表47 GXXS0907 社会实践活动子类表
表48 GXXS0908 三助活动子类表
表49 GXXS0909 社会工作子类表
表50 GXXS1001 奖学金数据子类表
表51 GXXS1002 助学金数据子类表
表52 GXXS1003 临时困难补助数据子类表
表53 GXXS1004 勤工助学数据子类表
表54 GXXS1005 伙食补贴数据子类表
表55 GXXS1006 绿色通道数据子类表
表56 GXXS1007 学费减免数据子类表
表57 GXXS1008 校内无息贷款数据子类表
表58 GXXS1009 助学贷款数据子类表
表59 GXXS1010 助学贷款发放数据子类表
表60 GXXS1011 其他资助数据子类表
表61 GXXS1012 学费补偿与贷款代偿数据子类表
表62 GXXS1013 学费补偿与贷款代偿发放账号数据子类表
表63 GXXS1014 学费补偿与贷款代偿发放数据子类表
表64 GXXS11 社团（协会）辅助数据类表
表65 GXXS1201 结束学业子类表 
表66 GXXS1202 毕业生求职子类表 
表67 GXXS1203 办理离校手续子类表 
表68 GXXS1301 用人单位需求子类表 
表69 GXXS1302 用人单位网上招聘子类表 
表70 GXXS1303 招聘会子类表 
表71 GXJX01 专业信息数据类表 
表72 GXJX02 课程数据类表 
表73 GXJX0301 总体计划子类表 
表74 GXJX0302计划课程子类表 
表75 GXJX0303计划学分学时要求子类 
表76 GXJX04 排课数据类表 
表77 GXJX05 选课数据类表 
表78 GXJX0601 教室基本数据子类表 
表79 GXJX0602 教室使用数据子类表 
表80 GXJX0701 教材基本数据子类表 
表81 GXJX0702 获奖教材子类表 
表82 GXJX0703 教材编者子类表 
表83 GXJX0801 教学成果获奖子类表 
表84 GXJX0802 教学成果完成人子类表 
表85 GXJX09 研究生专业培养方案数据类表 
表86 GXJX10 评教数据类表 
表87 GXJX11 考试安排数据类表 
表88 GXJG0101 教职工基础数据子类表 
表89 GXJG0109 家庭通讯方式子类表 
表90 GXJG0201 任课子类表 
表91 GXJG0202 教学工作量子类表 
表92 GXJG0302 管理工作子类表 
表93 GXJG0304 研究生导师子类表 
表94 GXJG0402 教职工考核子类表 
表95 GXJG0501 招聘启事辅助子类表 
表96 GXJG0502 应聘管理辅助子类表 
表97 GXJG0503 聘用合同管理子类表 
表98 GXJG0508 编制异动数据子类表 
表99 GXJG0601 工资结构子类表 
表100 GXJG0602 工资变动子类表 
表101 GXJG0801 国内专家子类表 
表102 GXJG0903 企业兼职子类表 
表103 GXJG11 住房数据类表 
表104 GXKY0101 科技项目基本数据子类表 
表105 GXKY0102 项目协作单位子类表 
表106 GXKY0103 项目经费子类表 
表107 GXKY0104 项目人员子类表 
表108 GXKY0105 项目合同信息子类表 
表109 GXKY0201 科研机构基本数据子类表 
表110 GXKY0202 科研机构人员子类表 
表111 GXKY0301 科技成果人员子类表 
表112 GXKY0302 科技著作子类表 
表113 GXKY0303 科技论文基本数据子类表 
表114 GXKY0304 科技论文发表子类表 
表115 GXKY0305 科技论文报告子类表 
表116 GXKY0306 鉴定成果子类表 
